,Postcode,Borough,Neighbourhood,Postal Code,Latitude,Longitude
56,M6B,North York,Glencairn,M6B,43.709577,-79.44507259999999
57,M4W,Downtown Toronto,Rosedale,M4W,43.6795626,-79.37752940000001
58,M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre",M5K,43.6471768,-79.38157640000001
59,M3H,North York,"Bathurst Manor, Downsview North, Wilson Heights",M3H,43.7543283,-79.4422593
60,M1H,Scarborough,Cedarbrae,M1H,43.773136,-79.23947609999999
61,M1J,Scarborough,Scarborough Village,M1J,43.7447342,-79.23947609999999
62,M1B,Scarborough,"Rouge, Malvern",M1B,43.806686299999996,-79.19435340000001
63,M3M,North York,Downsview Central,M3M,43.7284964,-79.49569740000001
64,M6E,York,Caledonia-Fairbanks,M6E,43.6890256,-79.453512
65,M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market",M5T,43.6532057,-79.4000493
66,M1K,Scarborough,"East Birchmount Park, Ionview, Kennedy Park",M1K,43.7279292,-79.26202940000002
67,M1N,Scarborough,"Birch Cliff, Cliffside West",M1N,43.692657000000004,-79.2648481
68,M5J,Downtown Toronto,"Harbourfront East, Toronto Islands, Union Station",M5J,43.6408157,-79.38175229999999
69,M9V,Etobicoke,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown",M9V,43.739416399999996,-79.5884369
70,M2L,North York,"Silver Hills, York Mills",M2L,43.7574902,-79.37471409999999
71,M9P,Etobicoke,Westmount,M9P,43.696319,-79.53224240000002
72,M2K,North York,Bayview Village,M2K,43.7869473,-79.385975
73,M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter",M1T,43.7816375,-79.3043021
74,M9C,Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe",M9C,43.6435152,-79.57720079999999
75,M1X,Scarborough,Upper Rouge,M1X,43.836124700000006,-79.20563609999999
76,M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",M1V,43.8152522,-79.2845772
77,M6K,West Toronto,"Brockton, Exhibition Place, Parkdale Village",M6K,43.6368472,-79.42819140000002
78,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights",M1P,43.7574096,-79.27330400000001
79,M1L,Scarborough,"Clairlea, Golden Mile, Oakridge",M1L,43.711111700000004,-79.2845772
80,M3J,North York,"Northwood Park, York University",M3J,43.7679803,-79.48726190000001
81,M5H,Downtown Toronto,"Adelaide, King, Richmond",M5H,43.65057120000001,-79.3845675
82,M5R,Central Toronto,"The Annex, North Midtown, Yorkville",M5R,43.6727097,-79.40567840000001
83,M8Y,Etobicoke,"Humber Bay, King's Mill Park, Kingsway Park South East, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea",M8Y,43.6362579,-79.49850909999999
84,M4S,Central Toronto,Davisville,M4S,43.7043244,-79.3887901
85,M6A,North York,"Lawrence Heights, Lawrence Manor",M6A,43.718517999999996,-79.46476329999999
86,M3N,North York,Downsview Northwest,M3N,43.7616313,-79.52099940000001
87,M5G,Downtown Toronto,Central Bay Street,M5G,43.6579524,-79.3873826
88,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,M7Y,43.6627439,-79.321558
89,M4J,East York,East Toronto,M4J,43.685347,-79.3381065
90,M6H,West Toronto,"Dovercourt Village, Dufferin",M6H,43.66900510000001,-79.4422593
91,M3L,North York,Downsview West,M3L,43.7390146,-79.5069436
92,M2H,North York,Hillcrest Village,M2H,43.8037622,-79.3634517
93,M1R,Scarborough,"Maryvale, Wexford",M1R,43.750071500000004,-79.2958491
94,M3A,North York,Parkwoods,M3A,43.7532586,-79.3296565
95,M2M,North York,"Newtonbrook, Willowdale",M2M,43.789053,-79.40849279999999
96,M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade,M5W,43.6464352,-79.37484599999999
97,M5X,Downtown Toronto,"First Canadian Place, Underground city",M5X,43.6484292,-79.3822802
98,M6M,York,"Del Ray, Keelesdale, Mount Dennis, Silverthorn",M6M,43.6911158,-79.47601329999999
99,M4Y,Downtown Toronto,Church and Wellesley,M4Y,43.6658599,-79.38315990000001
100,M9B,Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park",M9B,43.6509432,-79.55472440000001
101,M4P,Central Toronto,Davisville North,M4P,43.7127511,-79.3901975
102,M1E,Scarborough,"Guildwood, Morningside, West Hill",M1E,43.7635726,-79.1887115
